Nr.;MatNr.;observed plu time (sec.);pluStats time (sec.);observed uplu time (sec.); upluStats time (sec.);res. norm ;ures. norm; reference res. norm;forw. err.;uforw. err.;reference forw. err.;fact. err.;ufact. err.;reference fact. err.;n == 2000
1;a01304613;2.869710;2.883910;78.542316;81.211980;6e-16;6e-16;3e-14;5e-12;6e-12;2e-10;8e-15;8e-15;8e-15;
2;a01306379;3.701186;5.812500;81.759747;197.390625;7e-16;6e-16;3e-14;1e-12;1e-12;2e-10;1e-14;8e-15;8e-15;
3;a01306879;4.236912;4.484723;81.782152;81.195478;6e-16;6e-16;3e-14;1e-12;1e-12;2e-10;8e-15;8e-15;8e-15;
4;a01634908;22.450269;21.649887;146.699150;124.346100;8e-14;6e-16;3e-14;5e-10;6e-12;2e-10;7e-12;8e-15;8e-15;
5;a01263740;145.207177;Inf;80.251681;74.898293;Inf;3e-15;3e-14;Inf;3e-11;2e-10;Inf;8e-15;8e-15;
6;a01006529;603.339718;611.384390;151.487230;150.409987;6e-16;2e-14;3e-14;7e-12;1e-10;2e-10;8e-15;1e-12;8e-15;
