Nr.;MatNr.;observed plu time (sec.);pluStats time (sec.);observed uplu time (sec.); upluStats time (sec.);res. norm ;ures. norm; reference res. norm;forw. err.;uforw. err.;reference forw. err.;fact. err.;ufact. err.;reference fact. err.;n == 2000
1;a01304613;2.321215;2.298845;51.941765;51.924943;6e-16;6e-16;3e-14;1e-12;3e-12;6e-11;9e-15;9e-15;9e-15;
2;a01306379;2.683168;3.703125;52.461857;125.984375;7e-16;6e-16;3e-14;2e-12;2e-12;6e-11;1e-14;9e-15;9e-15;
3;a01306879;2.901281;2.808951;52.151999;53.397219;6e-16;6e-16;3e-14;2e-12;2e-12;6e-11;9e-15;9e-15;9e-15;
4;a01634908;14.359072;14.466522;92.591495;90.212257;2e-13;6e-16;3e-14;2e-10;3e-12;6e-11;4e-12;9e-15;9e-15;
5;a01263740;78.411199;Inf;52.885320;52.069169;Inf;3e-15;3e-14;Inf;9e-12;6e-11;Inf;8e-15;9e-15;
