Nr.;MatNr.;observed plu time (sec.);pluStats time (sec.);observed uplu time (sec.); upluStats time (sec.);res. norm ;ures. norm; reference res. norm;forw. err.;uforw. err.;reference forw. err.;fact. err.;ufact. err.;reference fact. err.;n == 2000
1;a01306379;2.422641;2.828125;58.896974;134.390625;7e-16;6e-16;3e-14;1e-12;1e-12;7e-11;1e-14;9e-15;9e-15;
2;a01306879;2.572113;2.597561;58.461743;56.103367;6e-16;6e-16;3e-14;1e-12;1e-12;7e-11;9e-15;9e-15;9e-15;
3;a01304613;3.104962;3.596315;67.025344;62.470388;6e-16;6e-16;3e-14;2e-12;5e-12;7e-11;9e-15;9e-15;9e-15;
4;a01634908;14.911888;14.756310;105.224307;107.667679;2e-13;6e-16;3e-14;4e-10;5e-12;7e-11;3e-11;9e-15;9e-15;
5;a01263740;97.143881;Inf;Inf;Inf;Inf;Inf;3e-14;Inf;Inf;7e-11;Inf;Inf;9e-15;
6;a01006529;398.380896;538.953053;135.297776;120.036823;6e-16;1e-14;3e-14;1e-12;2e-10;7e-11;9e-15;8e-13;9e-15;
